Date,Year,Month,Pearson,Kendall,Spearman
1981-01-01,1981,1,0.6120583364835825,0.28221855065588664,0.3831457010887194
1981-02-01,1981,2,0.8087693990080571,0.378523794552003,0.5222094438983375
1981-03-01,1981,3,0.5397752814666199,0.40064911723165375,0.5692051419447641
1981-04-01,1981,4,0.8083144002066921,0.3779485953050498,0.531695763800107
1981-05-01,1981,5,0.6437808132061161,0.45438007903447175,0.6273243254631428
1981-06-01,1981,6,0.6884208183002786,0.552398807069528,0.7346579430560317
1981-07-01,1981,7,0.4956930680303509,0.518112773124417,0.7035778842062145
1981-08-01,1981,8,0.671227721168469,0.4319406429712009,0.59044796591367
1981-09-01,1981,9,0.6097230315661777,0.38981714801794426,0.5378049380200883
1981-10-01,1981,10,0.5861305413345218,0.4238034751030599,0.5962765599721589
1981-11-01,1981,11,0.6418606582596597,0.476286581216953,0.6716845376505439
1981-12-01,1981,12,0.6471815778874337,0.4892834327382645,0.6590599286620712
1982-01-01,1982,1,0.7741368812727188,0.5707142699925459,0.7541191502034956
1982-02-01,1982,2,0.6441735762887633,0.458108762933637,0.6403619622609213
1982-03-01,1982,3,0.7161298130589151,0.5725783676981382,0.7497815987248458
1982-04-01,1982,4,0.7099195809320987,0.5387415577557294,0.7169012742727522
1982-05-01,1982,5,0.6305277491479045,0.42653066775961784,0.6027968529037462
1982-06-01,1982,6,0.5088363919406379,0.40806104727497694,0.5904962436114942
1982-07-01,1982,7,0.6860497368249683,0.4579336982435505,0.6375913324957103
1982-08-01,1982,8,0.6490159242250341,0.47022133785234077,0.6410391428104418
1982-09-01,1982,9,0.6120982433039127,0.3564161470298654,0.4904051406606992
1982-10-01,1982,10,0.7741794078330655,0.4179790963456365,0.5811641448079393
1982-11-01,1982,11,0.7955914046543744,0.4836226545884538,0.665238232106511
1982-12-01,1982,12,0.9354158701445452,0.3826823065873095,0.5030186988882831
1983-01-01,1983,1,0.6654749477870909,0.24155957105654347,0.32234121640427393
1983-02-01,1983,2,0.52794856980131,0.45630521744152064,0.5926176447782815
1983-03-01,1983,3,0.6037983273772032,0.48947518204093676,0.6759173808914849
1983-04-01,1983,4,0.6940433760499874,0.5296916295576357,0.7120038085316115
1983-05-01,1983,5,0.7291299985521469,0.604742760713135,0.776147006366264
1983-06-01,1983,6,0.7267195333753045,0.48177944121434824,0.661272594634532
1983-07-01,1983,7,0.6844214848481127,0.3657161316996899,0.5102679315119133
